in_vehicle,on_bicycle,on_foot,running,still,tilting,walking,unknown,ringer_mode,alarm_volume,music_volume,notifications_volume,ring_volume,bt_sco_connected,mic_muted,music_active,speaker_on,headset_connected,level,rotation,wifi_connected,morning,afternoon,evening,night,weekday,weekend,place_type_art_gallery,place_type_bakery,place_type_bank,place_type_bar,place_type_beauty_salon,place_type_book_store,place_type_bus_station,place_type_cafe,place_type_car_rental,place_type_car_repair,place_type_car_wash,place_type_city_hall,place_type_doctor,place_type_electrician,place_type_finance,place_type_fire_station,place_type_florist,place_type_food,place_type_funeral_home,place_type_gas_station,place_type_general_contractor,place_type_hair_care,place_type_health,place_type_home,place_type_home_goods,place_type_insurance_agency,place_type_laundry,place_type_lawyer,place_type_library,place_type_local_government_office,place_type_locksmith,place_type_lodging,place_type_moving_company,place_type_painter,place_type_park,place_type_pharmacy,place_type_place_of_worship,place_type_plumber,place_type_point_of_interest_establishment,place_type_police,place_type_post_office,place_type_premise,place_type_real_estate_agency,place_type_restaurant,place_type_route,place_type_school,place_type_shopping_mall,place_type_spa,place_type_store,place_type_street,place_type_supermarket,place_type_taxi_stand,place_type_tourist_attraction,place_type_transit_station,place_type_travel_agency,place_type_university,place_type_veterinary,place_type_workplace,charging_ac,charging_not,charging_usb,state_4,state_display_doze,state_display_doze_suspended,state_display_off,weather_clear,weather_clouds,weather_drizzle,weather_fog,weather_mist,weather_rain,weather_snow,weather_thunderstorm,label
0,0,0,0,1,0,0,0,1,0,0.533333,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,home
0,0,0,0,1,0,0,0,2,0.285714,0,0.571429,0.571429,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,home
0.11,0.06,0.27,0.05,0.2,0,0.27,0.22,1,0.6,1,0,0,0,0,0,0,0,0.48,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,home
0,0,0,0,1,0,0,0,2,0,0.533333,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,home
0.12,0.07,0.2,0.01,0.5,0,0.2,0.03,2,0.285714,0.2,0.571429,1,0,0,1,0,0,0.41,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,home
0,0,0,0,1,0,0,0,2,0.285714,0.133333,0.571429,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,home
0.1,0.03,0.04,0.03,0.67,0,0.04,0.05,2,1,0.6,1,1,0,0,0,0,0,0.84,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,home
0,0,0,0,1,0,0,0,2,1,0.666667,0.933333,0.933333,0,0,0,1,0,0.72,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,home
0.1,0.1,0.1,0.1,0.1,0,0.1,0.4,0,0.8,1,0,0,0,0,0,0,0,0.73,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,home
0,0,0,0,1,0,0,0,1,1,0.6,0,0,0,0,0,0,1,0.23,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,home
